commodity_name,state,district,market,min_price,max_price,modal_price,date
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,67.86,80,73.93,10/4/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,34.23,57.48,50.23,10/4/2019
Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,77.78,91.39,86.39,10/11/2019
Groundnut,Tamil Nadu,Vellore,Vellore,75.36,95.86,94,10/11/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,55.15,64.28,59.23,10/11/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,69.61,92.98,87.15,10/18/2019
Groundnut,Tamil Nadu,Vellore,Vellore,75.36,99.5,95,10/18/2019
Groundnut,Tamil Nadu,Villupuram,Villupuram,60.63,76.2,64.83,12/19/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,56,63,58,9/23/2019
Groundnut,Tamil Nadu,Coimbatore,Anaimalai,50,60,55,9/27/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,67.36,93.74,86.4,9/27/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,82.48,92.74,90.11,9/27/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,57.74,92.11,74.93,9/27/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,86.38,86.38,86.38,9/27/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,67,69.73,67.75,9/27/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,68.36,94.12,86.62,10/16/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,77.74,89.58,85,10/16/2019
Groundnut,Tamil Nadu,Vellore,Vellore,73.61,99.09,98,10/23/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,75.23,90.73,88,10/17/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,56.5,75,60,10/17/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,73.74,92.61,83.18,10/17/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,56.36,87.36,69.61,10/1/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,72.23,72.23,72.23,10/1/2019
Groundnut,Tamil Nadu,Vellore,Vellore,43.86,97.39,95,10/1/2019
Groundnut,Tamil Nadu,Vellore,Vellore,77.08,96.49,95,10/15/2019
